order_id,order_date,customer_id,customer_name,product_code,product_name,category,quantity_units,unit_price_usd,sales_rep
ORD-2024000,2024-05-05,CUST-001,Permian Basin Drilling Co.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,1193.73,82.3,T. Williams
ORD-2024002,2024-04-11,CUST-001,Permian Basin Drilling Co.,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,3608.5,3.2,A. Johnson
ORD-2024003,2024-10-28,CUST-004,Houston Petrochem Inc.,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,1463.13,18.75,R. Chen
ORD-2024004,2024-05-22,CUST-007,Bayou City Fuel Dist.,NAT-GAS-001,Natural Gas,Natural Gas,861.85,2.85,T. Williams
ORD-2024005,2024-07-13,CUST-002,Gulf Coast Refinery LLC,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,573.91,12.5,J. Martinez
ORD-2024006,2024-08-23,CUST-005,Lone Star Pipeline Corp.,GASOLINE-87,Gasoline 87 Octane,Refined Products,2727.52,2.95,J. Martinez
ORD-2024007,2024-05-30,CUST-002,Gulf Coast Refinery LLC,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,4164.08,18.75,A. Johnson
ORD-2024008,2024-01-24,CUST-004,Houston Petrochem Inc.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,3340.19,12.5,J. Martinez
ORD-2024009,2024-07-13,CUST-004,Houston Petrochem Inc.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,1462.07,82.3,J. Martinez
ORD-2024011,2024-05-05,CUST-003,Texas Energy Partners,CRUDE-BRENT,Crude Oil Brent,Crude Oil,900.67,82.3,A. Johnson
ORD-2024013,2024-02-03,CUST-007,Bayou City Fuel Dist.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,1133.82,12.5,T. Williams
ORD-2024014,2024-07-21,CUST-004,Houston Petrochem Inc.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,4434.95,12.5,R. Chen
ORD-2024015,2024-05-06,CUST-005,Lone Star Pipeline Corp.,NAT-GAS-001,Natural Gas,Natural Gas,3750.45,2.85,S. Patel
ORD-2024016,2024-07-23,CUST-007,Bayou City Fuel Dist.,GASOLINE-87,Gasoline 87 Octane,Refined Products,1873.78,2.95,A. Johnson
ORD-2024018,2024-02-02,CUST-007,Bayou City Fuel Dist.,NAT-GAS-001,Natural Gas,Natural Gas,1985.36,2.85,A. Johnson
ORD-2024022,2024-07-10,CUST-004,Houston Petrochem Inc.,JET-A1,Jet Fuel A-1,Refined Products,3836.3,3.45,S. Patel
ORD-2024024,2024-01-30,CUST-005,Lone Star Pipeline Corp.,LUBR-HD40,Heavy Duty Lubricant 40W,Lubricants,1280.27,12.5,S. Patel
ORD-2024025,2024-02-05,CUST-002,Gulf Coast Refinery LLC,CRUDE-BRENT,Crude Oil Brent,Crude Oil,4892.12,82.3,R. Chen
ORD-2024026,2024-10-08,CUST-003,Texas Energy Partners,NAT-GAS-001,Natural Gas,Natural Gas,909.12,2.85,R. Chen
ORD-2024027,2024-10-03,CUST-007,Bayou City Fuel Dist.,GASOLINE-87,Gasoline 87 Octane,Refined Products,3800.8,2.95,S. Patel
ORD-2024028,2024-08-12,CUST-007,Bayou City Fuel Dist.,JET-A1,Jet Fuel A-1,Refined Products,4508.11,3.45,T. Williams
ORD-2024029,2024-06-22,CUST-004,Houston Petrochem Inc.,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,203.07,3.2,J. Martinez
ORD-2024032,2024-10-22,CUST-003,Texas Energy Partners,DIESEL-ULS,Ultra Low Sulfur Diesel,Refined Products,2416.09,3.2,A. Johnson
ORD-2024033,2024-02-19,CUST-004,Houston Petrochem Inc.,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,3329.02,18.75,J. Martinez
ORD-2024034,2024-12-10,CUST-008,Midland Energy Services,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,3301.93,18.75,J. Martinez
ORD-2024036,2024-05-22,CUST-007,Bayou City Fuel Dist.,NAT-GAS-001,Natural Gas,Natural Gas,2366.88,2.85,S. Patel
ORD-2024037,2024-02-20,CUST-008,Midland Energy Services,CRUDE-BRENT,Crude Oil Brent,Crude Oil,347.88,82.3,A. Johnson
ORD-2024038,2024-03-26,CUST-002,Gulf Coast Refinery LLC,CRUDE-WTI,Crude Oil WTI,Crude Oil,2091.43,78.5,S. Patel
ORD-2024039,2024-07-13,CUST-001,Permian Basin Drilling Co.,LUBR-SYN5,Synthetic Motor Oil 5W-30,Lubricants,110.56,18.75,S. Patel
ORD-2024040,2024-12-22,CUST-005,Lone Star Pipeline Corp.,PROP-LPG,Propane LPG,LPG,4790.86,1.15,R. Chen
ORD-2024041,2024-04-07,CUST-008,Midland Energy Services,HEAT-OIL,Heating Oil No.2,Refined Products,1553.87,3.1,S. Patel
ORD-2024042,2024-01-30,CUST-001,Permian Basin Drilling Co.,GASOLINE-87,Gasoline 87 Octane,Refined Products,345.7,2.95,T. Williams
ORD-2024044,2024-03-02,CUST-004,Houston Petrochem Inc.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,4713.82,82.3,R. Chen
ORD-2024045,2024-02-11,CUST-001,Permian Basin Drilling Co.,GASOLINE-87,Gasoline 87 Octane,Refined Products,2154.2,2.95,A. Johnson
ORD-2024046,2024-04-14,CUST-006,Eagle Ford Resources,HEAT-OIL,Heating Oil No.2,Refined Products,3381.66,3.1,T. Williams
ORD-2024047,2024-12-09,CUST-007,Bayou City Fuel Dist.,JET-A1,Jet Fuel A-1,Refined Products,3262.95,3.45,S. Patel
ORD-2024048,2024-11-14,CUST-001,Permian Basin Drilling Co.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,4992.43,82.3,R. Chen
ORD-2024049,2024-05-15,CUST-004,Houston Petrochem Inc.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,749.04,82.3,A. Johnson
ORD-2024050,2024-05-25,CUST-004,Houston Petrochem Inc.,CRUDE-BRENT,Crude Oil Brent,Crude Oil,872.96,82.3,T. Williams
ORD-2024053,2024-04-14,CUST-004,Houston Petrochem Inc.,JET-A1,Jet Fuel A-1,Refined Products,3468.74,3.45,T. Williams
ORD-2024054,2024-01-27,CUST-008,Midland Energy Services,HEAT-OIL,Heating Oil No.2,Refined Products,552.26,3.1,T. Williams
ORD-2024055,2024-06-19,CUST-001,Permian Basin Drilling Co.,JET-A1,Jet Fuel A-1,Refined Products,3878.48,3.45,J. Martinez
ORD-2024056,2024-10-09,CUST-003,Texas Energy Partners,JET-A1,Jet Fuel A-1,Refined Products,3557.77,3.45,R. Chen
ORD-2024057,2024-10-06,CUST-002,Gulf Coast Refinery LLC,CRUDE-BRENT,Crude Oil Brent,Crude Oil,276.54,82.3,S. Patel
